Gene ID	Gene name
102263_at	Zfp143
100064_f_at	Gja1
98915_at	Rnf149
102313_at	Gch1
97764_at	Ros1
104063_at	Tom1l1
101009_at	Krt8
94881_at	Cdkn1a
100574_f_at	Gpi1
95344_at	Il13ra2
102252_at	Pfdn2
161046_at	Crlf1
95453_f_at	S100a1
93859_at	Mtif2
96066_s_at	Pkm2
98111_at	Hsph1
93842_at	Dap
100732_at	Gm11353 /// Gm14438 /// Rps8 /// Rps8-ps1
101002_at	Azin1
104300_at	Iqgap1
95466_at	Cotl1
102904_at	H2-Ea-ps /// LOC100504404
162272_r_at	Stxbp2
100727_at	Rpl28
161898_i_at	Mtx1
103328_at	Tank
96146_at	Btg3 /// Gm7334
161174_i_at	Krt81
93013_at	Id2
102806_g_at	Ceacam1
161718_at	Braf
162313_f_at	Galnt3
162274_f_at	Lsr
161504_i_at	Cisd1
100618_f_at	Slc25a5
95706_at	Lgals3
98545_at	Phb2
161694_f_at	Ptgs1
104509_at	Ch25h
97519_at	Spp1
160553_at	Ly6d
101299_at	H2-M1
98441_at	Fmr1
93179_at	Tmem62
101150_at	Etv2
162082_r_at	Map2k1
94208_at	LOC100046302 /// Pdia6
162342_at	
97559_at	Eef2
162311_f_at	
102644_at	Mdfic
99653_at	Rpl14 /// Rpl14-ps1
104308_at	Itgax
98616_f_at	Myh7
93782_at	Rnf4
94284_at	Cyb5r3
97766_at	Ros1
101510_at	Psme1
101973_at	Cited2
102383_at	Fam117a
96653_at	Rnaset2a /// Rnaset2b
93316_at	Osbpl1a
97279_at	Hibadh
95654_at	Clic1 /// Sept9
97487_at	Serpine2
94840_at	Hexa
92809_r_at	Fkbp4
99160_s_at	Grina
96260_at	Snd1
97013_f_at	Cyba
94542_at	Mbtd1
162198_f_at	
99532_at	Tob1
93860_i_at	
93270_at	Gars
96575_at	Rpl8
160863_at	Tulp2
104584_f_at	Crb3
99335_at	Hk1
96564_at	Hspa8
101511_at	Ssr4
97937_at	Klf5
92877_at	Tgfbi
102337_s_at	Fcgr2b
103761_at	Tcfcp2l1
98948_at	Gnl3
103377_at	Lrp2
99941_at	Ces3a
103210_at	Csf2rb2
98476_at	Ank3
101001_at	Wls
161342_r_at	Eif4b
97310_at	St13
94432_at	St6gal1
100522_s_at	Wbp5
94270_at	Krt18
99071_at	Mpeg1
98490_at	Arl8b
100313_at	Itga8
104232_at	Gjb3
95541_at	Fam3c
97190_f_at	
93354_at	Apoc1
102913_at	Bcl2a1a /// Bcl2a1b /// Bcl2a1d
160215_at	Aes
161343_r_at	
102353_at	Itgb2
97710_f_at	Tbc1d24
92577_f_at	LOC100502825 /// Rpl37
98333_at	Gm10260 /// Rps18
93285_at	Dusp6
92572_at	Tnfaip1
99952_at	Chi3l1
101398_at	Stxbp2
103892_r_at	Ell2
100144_at	Ncl
92626_at	Npdc1
100561_at	Iqgap1
93325_at	Polr2e
162199_r_at	Mcpt8
103088_at	Chl1
98408_at	Hhex
160182_at	Srsf6
104513_at	2410004N09Rik
94951_at	Las1l
94556_at	Snx10
104493_at	
93882_f_at	Tgoln1 /// Tgoln2
102802_at	Il18
98423_at	Gjb2
99475_at	Socs2
162206_f_at	Socs3
99566_at	Tpi1
98414_at	Zfp42
93104_at	Btg1
100720_at	Pabpc1
102715_at	Nr2f1
95286_at	Clu
100711_at	Rpl10a
95613_at	Tmem30a
97560_at	Psap
94147_at	Serpine1
103257_at	Tmem56
102656_at	Itga4
160469_at	Thbs1
95642_at	Elovl1
93283_at	Aprt
160426_at	Polr1c
101561_at	Mt2
103392_at	Adcy7
102098_at	
162433_f_at	Nop56
92637_at	Pfkl
93850_at	Iqgap1
94040_at	Erh
103648_at	Tacstd2
160228_at	Cldnd1
161193_r_at	
93974_at	Errfi1
103922_f_at	Cyb5r1
100939_at	Zfp282
96756_at	Ndufaf4
93550_at	Csrp2
161616_f_at	Rprm
101020_at	Ctsc
96134_at	Reep6
96295_at	Psat1
95425_at	Acadl
100573_f_at	Gpi1
161509_at	Mmp2
96929_at	Ehd1
96835_at	Matn4
103467_g_at	Cyhr1
95348_at	Cxcl1
97765_g_at	Ros1
103463_at	Pramel4
96048_at	Hrsp12
98506_r_at	Cpox
93495_at	Prdx4
92800_i_at	Atp5c1 /// D13Mgi7
102773_at	Car8
102301_at	Capza3
92415_at	Tnfsf9
