Gene ID	Gene name
104265_at	Kdr
93949_at	Gnb4
104000_at	Ces2g
104221_at	Slc7a5
94737_at	Adcy8
160255_at	Ahnak
97977_at	Ntn1
100450_r_at	Acvrl1
160487_at	Myl4
100133_at	Fyn
96953_at	Cxcl14
100134_at	Eng
104206_at	Ankrd33b
98040_at	Tcf3
100403_at	Myl7
93896_at	Ptprd
98409_at	Myo1b
104645_at	Klf7
100593_at	Tnnt2
92337_g_at	Polrmt
99549_at	Ogn
95290_at	Crhr1
160097_at	Nespas
103574_at	Ablim1
103560_at	Lysmd2
100951_at	Pkd2
103697_at	Lifr
100069_at	Cyp2f2
93454_at	Cd93
101631_at	Sox11
103556_at	Angptl2
99642_i_at	Cpe
101071_at	Myh6
103486_at	Il1b
99052_at	Zeb1
99481_at	Atp1a2
161006_at	Slco3a1
161666_f_at	Gadd45b
96885_at	Nt5dc2
160583_at	Lyve1
160280_at	Cav1
98924_at	Art3
104375_at	Spock2
100554_at	Pdlim1
92868_at	Tpst2
161610_at	
97859_at	Inpp5a
95995_at	
99569_at	Krt85
101339_at	Gm5771 /// Prss1 /// Try4 /// Try5
100757_at	Cacnb2
93590_at	Ndst1
94028_f_at	
101486_at	Psmb10
103200_at	Fam65b
102707_f_at	Serpina3c
103069_at	Lin9
97990_at	Myh11
103499_at	Vwf
102032_at	Twsg1
97402_at	Inmt
104406_at	Ptges
161875_at	Fmr1
102916_s_at	Tnxb
96865_at	Marcks
97347_at	Ltbp4
104146_at	Rasip1
96785_at	Kank3
102742_g_at	Mapt
92593_at	Postn
92366_at	Lama2
96895_at	Pon1
99937_at	Meox2
160320_at	Sorbs1
99081_at	Serping1
102048_at	Ankrd1
160253_at	Ifitm3
95025_at	D16H22S680E
98005_at	Pkia
161001_at	Gcom1
96742_at	Dpt
162449_f_at	Gpr182
160379_at	Epb4.1
93330_at	Aqp1
101703_at	
97835_at	Rarres2
99592_f_at	Rdh11
102378_at	Sspn
160483_at	Tcf4
92555_at	Tspan6
103850_at	Loxl1
92224_at	Clec3b
98766_at	Sh3bp5
101095_at	Mfap2
99643_f_at	Cpe
161011_at	Zbtb46
99545_at	Tekt1
100477_at	Tmem45a
100910_at	Surf2
103736_at	Sash1
94507_at	Acsl1
161698_f_at	Mtap7d1
100921_at	Tnni3
161234_f_at	Sept4
94224_s_at	Ifi204 /// Ifi205 /// Mnda /// Mndal
103031_g_at	Dnm1
93078_at	Ly6a
93541_at	Tagln
93485_at	Ptprd
94906_at	Adh1
103052_r_at	Nr2f2
99972_at	Tph1
92291_f_at	Cfhr1
103345_at	Spna2
102737_at	Edn1
94246_at	Ets2
98790_s_at	Meis1
161962_f_at	Mfap4
104761_at	Antxr2
93851_at	Rabggta
102720_at	Tek
103534_at	Hbb-b2
97006_s_at	Lifr
102331_at	St5
104588_at	Hamp
101135_at	Calcr
102940_at	Ltb
96886_at	Stab1
96599_at	Slc4a5
93195_at	Mfhas1
97317_at	Enpp2
160095_at	Lox
104395_at	Itpkb
99440_at	Nfib
92768_s_at	Alas2
99671_at	Cfd
93193_at	Adrb2
160896_at	Rcn1
