Clic4	ILMN_2063586	94254_at
Clic4	ILMN_2063586	94256_at
Clic4	ILMN_2063586	94255_g_at
Myh11	ILMN_1660086	97990_at
Ppap2a	ILMN_1739161	98508_s_at
Pdlim1	ILMN_1788955	100554_at
Akap12	ILMN_1684836	95022_at
Gsn	ILMN_1801043	93750_at
Aqp1	ILMN_1681103	93330_at
Arrb1	ILMN_1819608	100473_at
Ankrd1	ILMN_1716264	102048_at
Papss2	ILMN_2410929	96713_at
Lama2	ILMN_1788019	92366_at
Inpp5a	ILMN_1664608	97859_at
Inpp5a	ILMN_1664608	97858_at
Cxcr4	ILMN_1801584	102794_at
Bnip2	ILMN_1770803	161712_r_at
Il6st	ILMN_1849013	94345_at
Il6st	ILMN_1849013	98349_at
Alas2	ILMN_2367126	92768_s_at
Fam65b	ILMN_1726597	103200_at
Scgb1a1	ILMN_1655347	94291_at
Prkcdbp	ILMN_1793476	97496_f_at
Hey1	ILMN_1788203	95671_at
Upk3b	ILMN_2353276	104512_at
Tpst2	ILMN_2329679	92868_at
Pdgfra	ILMN_1681949	95079_at
Ahnak	ILMN_1752159	160255_at
Lifr	ILMN_1709094	103697_at
Lifr	ILMN_1709094	97006_s_at
Tpst2	ILMN_1695432	92868_at
Bmp6	ILMN_1747650	92372_at
Bmp6	ILMN_1747650	161028_at
C3	ILMN_1762260	93497_at
Myl9	ILMN_1675062	96939_at
Igfbp6	ILMN_1669362	103904_at
Plekha1	ILMN_1662839	161027_f_at
Tagln	ILMN_2400935	93541_at
Hey1	ILMN_2407308	95671_at
Tuba1a	ILMN_1742981	100342_i_at
Tekt1	ILMN_1654570	99545_at
Tbx2	ILMN_1792256	104655_at
Pdgfra	ILMN_2086470	95079_at
Cd97	ILMN_2413508	97832_at
Psip1	ILMN_1788701	97853_at
Macf1	ILMN_2301624	98402_at
Foxf2	ILMN_1674934	99846_at
Ppap2a	ILMN_2343278	98508_s_at
Krt4	ILMN_1744765	100421_at
Krt4	ILMN_1744765	161647_f_at
Jun	ILMN_1806023	100130_at
Tnfrsf19	ILMN_1704154	160670_at
Aldh1a1	ILMN_2096372	100068_at
Ifit3	ILMN_2239754	93956_at
Lama2	ILMN_2339266	92366_at
Zbtb16	ILMN_2402817	92202_g_at
Ablim1	ILMN_2396672	103574_at
Cfh	ILMN_1810910	101853_f_at
Efnb2	ILMN_1703852	160857_at
Arhgef3	ILMN_1781010	160840_at
Matn2	ILMN_1694840	161776_at
Pkia	ILMN_2337974	98005_at
Sorbs1	ILMN_1749792	160320_at
Cyr61	ILMN_2188264	92777_at
Acta2	ILMN_1671703	93100_at
Smarca2	ILMN_1791702	102384_at
Ets1	ILMN_2122103	94332_at
Tagln	ILMN_1778668	93541_at
Zbtb16	ILMN_2305407	92202_g_at
Arrb1	ILMN_1730620	100473_at
Ppp1cb	ILMN_2405018	100088_at
Twsg1	ILMN_2214144	102032_at
Kctd12	ILMN_1742332	104735_at
G0s2	ILMN_1691846	97531_at
She	ILMN_2133996	161099_at
Edn1	ILMN_1682775	102737_at
Hp	ILMN_1812433	96092_at
Nr2f2	ILMN_2094360	103052_r_at
Nr2f2	ILMN_2094360	161792_f_at
Tjp1	ILMN_1691499	99935_at
Cfh	ILMN_2412192	101853_f_at
Pgm1	ILMN_1800659	104534_at
Cxcr4	ILMN_2320888	102794_at
S100a9	ILMN_1750974	103887_at
Kit	ILMN_1790160	99956_at
Rhob	ILMN_1802205	101030_at
Col6a2	ILMN_1809928	93517_at
Mfap5	ILMN_1733415	99518_at
Cadm1	ILMN_1680132	93604_f_at
Cadm1	ILMN_1680132	93605_r_at
Cfh	ILMN_1657803	101853_f_at
Kit	ILMN_2229379	99956_at
Tspan3	ILMN_1655469	97912_at
Hoxb5	ILMN_1674908	103666_at
Acsl1	ILMN_1684585	94507_at
Ablim1	ILMN_1785424	103574_at
Crip1	ILMN_1656920	94061_at
Hopx	ILMN_2316236	96672_at
Msln	ILMN_2353161	102953_at
