MFAP5	99518_at	ILMN_1733415
ARHGEF3	160840_at	ILMN_1781010
TFRC	103957_at	ILMN_1674243
GSN	93750_at	ILMN_1801043
PRKCDBP	97496_f_at	ILMN_1793476
GPC3	160158_at	ILMN_2051972
G0S2	97531_at	ILMN_1691846
ACTA2	93100_at	ILMN_1671703
LIMCH1	103412_at	ILMN_2139761
TNFRSF19	160670_at	ILMN_1704154
PPP1CB	100088_at	ILMN_2405018
HP	96092_at	ILMN_1812433
ZBTB16	92202_g_at	ILMN_2402817
CDO1	96346_at	ILMN_2234187
DUSP1	104598_at	ILMN_1781285
PMP22	102395_at	ILMN_1785646
CYR61	92777_at	ILMN_2188264
CADM1	93604_f_at	ILMN_1680132
S100A9	103887_at	ILMN_1750974
PAPSS2	96713_at	ILMN_2410929
KLF4	99622_at	ILMN_2137789
KRT4	100421_at	ILMN_1744765
HOPX	96672_at	ILMN_2316236
DCN	93534_at	ILMN_2347145
SDPR	160373_i_at	ILMN_1715991
S100A8	103448_at	ILMN_1729801
ALDH1A1	100068_at	ILMN_1709348
